DLC,Lifetime Weighted DEL,AEP_mean_pwr_per_sd,AEP_max_pwr_per_sd,Variable,Seed-speed weighted DEL,Seed-speed-yaw-nocc Weighted DEL,Yaw,Uref,Seed,DEL_individual,Max_individual,Seed weighted DEL,Seed weighted Max,Mean_power
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd15,4495.873556752257,3640.8354007671937,4485.486599765346,3628.455206076504,863.879151090463
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd16,4481.773907900363,3797.4585184805796,4485.486599765346,3628.455206076504,863.2564002881516
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd17,4458.007408958385,3433.5701531565646,4485.486599765346,3628.455206076504,807.9068811289396
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd18,4492.589920341224,3606.105309434254,4485.486599765346,3628.455206076504,838.2869183887367
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd19,4499.682304371481,3738.8199918627756,4485.486599765346,3628.455206076504,889.8934891004508
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd20,4476.132761489345,3632.6355024905047,4485.486599765346,3628.455206076504,870.0832967670065
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd21,4481.692003330628,3663.734658435773,4485.486599765346,3628.455206076504,835.9830107441625
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd22,4495.13157939135,3642.366673760805,4485.486599765346,3628.455206076504,888.1815542006686
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd23,4497.921113060022,3583.48678506125,4485.486599765346,3628.455206076504,794.4184615889775
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd0,4659.449875306496,3964.109152087873,4622.185547898619,3850.754248007705,1372.138696182989
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd1,4604.444883789851,3867.5624601836257,4622.185547898619,3850.754248007705,1380.1786808068323
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd2,4598.349798201009,3914.756093491658,4622.185547898619,3850.754248007705,1285.8585287057508
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd3,4647.750019964989,3759.093009887829,4622.185547898619,3850.754248007705,1386.3934250308992
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd4,4614.340940661718,3963.4197844070827,4622.185547898619,3850.754248007705,1393.9368186178338
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd5,4651.526373471135,3796.5504052047795,4622.185547898619,3850.754248007705,1349.49133881659
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd6,4578.599978583149,3800.6340342292233,4622.185547898619,3850.754248007705,1196.741558008326
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd7,4612.68036766637,3773.3208536271527,4622.185547898619,3850.754248007705,1330.6718594226916
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd8,4615.754433178974,3905.3392314724474,4622.185547898619,3850.754248007705,1358.8833795298056
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd9,4614.74746592804,3769.9713252434753,4622.185547898619,3850.754248007705,1368.1282974185358
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd10,4585.9397929701145,3794.1677252515997,4622.185547898619,3850.754248007705,1257.5292634494035
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd11,4672.8052353517705,4020.031276644843,4622.185547898619,3850.754248007705,1334.727575693585
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd12,4616.344945221984,3928.651768991043,4622.185547898619,3850.754248007705,1274.2196997324527
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd13,4641.11553982108,3828.0895733617413,4622.185547898619,3850.754248007705,1244.278102737839
